"","name","agent_response","agent_rating","photo","trial_gender"
"1643","Marcus","I like the colors and the shapes are interesting",11,14,"male"
"1644","Mark","Cute little plant.",15,14,"male"
"1645","Mason","ok, gloomy though.",12,14,"male"
"1646","Matthew","I like the color tone, it's kind of disturbing.",35,14,"male"
"1647","Michael","Looks like there is some skill but also at the same time parts look unskilled.",-16,14,"male"
"1648","Miguel","It's too basic.",23,14,"male"
"1649","Mitchell","Tornado, nature. trees falling and displaced creatures. Love the colors though.",1,14,"male"
"1650","Nathan","Too much yellow in this image, i'm not a fan of art that is overly-saturated with yellow",-30,14,"male"
"1651","Nathaniel","Not quite the style I'd like, but it does have a certain air of emptiness.",12,14,"male"
"1652","Nicholas","I love the feeling of the tree and people. Makes me happy",50,14,"male"
"1653","Noah","I enjoy what comes across as a playful take on nature themes",26,14,"male"
"1654","Patrick","It uplifts my mood due to the color scheme",32,14,"male"
"1655","Paul","Just don't like it, maybe it's the bleeding colors on the left of the tree-looking thing in the center or the faded background",-10,14,"male"
"1656","Peter","I like that it's like a snippet of a field in the desert",21,14,"male"
"1657","Richard","the colors are peaceful and nature colors, soft",37,14,"male"
"1658","Robert","Late Winter when things are just starting to bloom.",21,14,"male"
"1659","Ryan","Gorgeous use of water color",50,14,"male"
"1660","Samuel","tree of life brings hope",7,14,"male"
"1661","Scott","its okay nothing special",11,14,"male"
"1662","Sean","my reaction is that the picture is wierd",-14,14,"male"
"1663","Seth","This piece feels inviting. It's like opening up the pages of your favorite book for the first time.",26,14,"male"
"1664","Shane","Feels like a camp fire among friends",22,14,"male"
"1665","Shawn","Like the brushstrokes but not the composition",9,14,"male"
"1666","Spencer","I like the simplicity along with the colors",27,14,"male"
"1667","Stephen","I'm a fan of the background.",13,14,"male"
"1668","Steven","this one isn't bad, reminds me a tree that gives life, and people are waiting for someone new to be born",27,14,"male"
"1669","Tanner","somewhat stressful, crazy",-3,14,"male"
"1670","Taylor","Are they blowing up a tree?",-5,14,"male"
"1671","Thomas","I like the colors in the background, but not the bottom/center. It almost looks sloppy.",-20,14,"male"
"1672","Timothy","Something about the cahotic imagery makes me uncomfortable",-15,14,"male"
"1673","Travis","I kind of like it...I like the white back ground",11,14,"male"
"1674","Trevor","has a tree look to it and it's colors are happy",9,14,"male"
"1675","Tristan","In others I might say the colors are garish. Here it works perfectly. The balance is wondrous and unlimiting.",25,14,"male"
"1676","Tyler","No strong feelings either direction.",-4,14,"male"
"1677","Victor","Meh. Pleasant to look at. Colors are nice",6,14,"male"
"1678","Vincent","Reminds me of the old days with my family and my grandma",41,14,"male"
"1679","William","calming to look at",37,14,"male"
"1680","Zachary","Did not evoke much feeling except confusion. I am not sure what to make of this one.",-20,14,"male"
"1681","Aaron","I like how it's simple but beautiful.",40,15,"male"
"1682","Adam","Eyes hunt for the blue in the black.",5,15,"male"
"1683","Adrian","Not a fan. This piece would only go with very specific decor in a modern home.",-35,15,"male"
"1684","Alejandro","The blotted black spots create a nice contrast between the brush strokes within the center and sides. I like it.",41,15,"male"
"1685","Alex","Interesting to look at but I don't appreciate the abstraction",2,15,"male"
"1686","Alexander","Leafs spread on the ground.",27,15,"male"
"1687","Alexis","it is dark and gloomy",-9,15,"male"
"1688","Andrew","The blues are soothing",21,15,"male"
"1689","Angel","This is looking at a forest from above. I can see water and some pathways throughout. Nature.",20,15,"male"
"1690","Anthony","This piece isn't particularly attractive, but it's not ugly either.",1,15,"male"
"1691","Antonio","Makes me think of a bush and flowers and spring and happy warm times",25,15,"male"
"1692","Austin","Perfect Abstract painting",50,15,"male"
"1693","Benjamin","Reminds me of blueberry bushes.",7,15,"male"
"1694","Blake","ugly picture and don't like it",-22,15,"male"
"1695","Bradley","I feel like there's ski jumping going on here.",2,15,"male"
"1696","Brandon","Not a fan of abstract, but the black is very striking",10,15,"male"
"1697","Brendan","some trees in the forest",15,15,"male"
"1698","Brett","I don't know how I feel about this",31,15,"male"
"1699","Brian","This is simply too ""old-school""",-27,15,"male"
"1700","Bryan","Interesting. Reminds me of a biopsy slide.",21,15,"male"
"1701","Bryce","The dots are cool with the blue accents.",24,15,"male"
"1702","Caleb","Love the accent colors in this piece!",20,15,"male"
"1703","Cameron","This one reminds me of a postage stamp, but branches and leaves. Kind of fun.",15,15,"male"
"1704","Carlos","It is visually appealing, stark and simple but natural.",41,15,"male"
"1705","Charles","it looks like lavender",10,15,"male"
"1706","Chase","I don't like how the black dots are aligned.",-20,15,"male"
"1707","Christian","very unsettling! like reverse porcelain esp because of the colors",28,15,"male"
"1708","Christopher","this is really pretty! i like the pops of blue in all the black",26,15,"male"
"1709","Cody","Don't love it but it's cute",16,15,"male"
"1710","Cole","It reminds me of when you look up into a tree",21,15,"male"
"1711","Colton","it's alright but a little cluttered",14,15,"male"
"1712","Connor","Neat to explore meaning, blue is interesting",11,15,"male"
"1713","Corey","i like the pop of blue within all the black",8,15,"male"
"1714","Dakota","abrasive, rough, uneven",-31,15,"male"
"1715","Dalton","black leaves makes the blue birds stand out.",1,15,"male"
"1716","Daniel","Dark, drab asymmetrical floral piece",-26,15,"male"
"1717","David","Hard to tell what I'm looking at, but it does a gives a slight impression of a of garden.",5,15,"male"
"1718","Derek","Although it looks a bit bland in terms of color, I really like the print/pattern",25,15,"male"
"1719","Devin","Simple but needs some more detail somehow",-3,15,"male"
"1720","Devon","This one seems a bit frightening",-19,15,"male"
"1721","Dustin","Too much black. I see weeds or dead/dying flowers.",-40,15,"male"
"1722","Dylan","This is sort of ugly, but I do like the design.",10,15,"male"
"1723","Edward","Reminds me of lilacs",26,15,"male"
"1724","Elijah","Makes me feel weird",-16,15,"male"
"1725","Eric","This picture is too confusing for me. I wouldn't want to stare at it to figure it out.",-10,15,"male"
"1726","Ethan","This piece gave me no emotion. It's ugly to me.",-38,15,"male"
"1727","Evan","I am reminded of spring flowers swaying in the dark night's breeze",9,15,"male"
"1728","Gabriel","i kinda like this one but wouldnt buy it for myself",17,15,"male"
"1729","Garrett","Not enough colors to make it interesting and doesn't look like anything is happening.",-20,15,"male"
"1730","Grant","This elicits no reaction in me.",0,15,"male"
"1731","Gregory","Black and blue is my favorite color combination",35,15,"male"
"1732","Hunter","reminds me of birds in trees",14,15,"male"
"1733","Ian","This gives a skin crawling feeling. Like something that you could see under a mircoscope",10,15,"male"
"1734","Isaac","The colors are too busy.",-39,15,"male"
"1735","Isaiah","The painting is very relaxing, I'm reminded of sitting in a garden in the evening.",8,15,"male"
"1736","Jack","interesting technique. the blue is very pretty",18,15,"male"
"1737","Jacob","I think it's trying to execute a cool idea, but unfortunately it doesn't appeal",5,15,"male"
"1738","Jake","This looks odd and was not well executed.",-3,15,"male"
"1739","James","No opinion truthfully",1,15,"male"
"1740","Jared","i cant find somthing ilike about it",-31,15,"male"
"1741","Jason","Simplicity of colors is nice",11,15,"male"
"1742","Jeffrey","dark and I can not see a meaning behind it",-31,15,"male"
"1743","Jeremy","I feel nothing when looking at this",1,15,"male"
"1744","Jesse","Doesnt trigger much of a reaction overall",-2,15,"male"
"1745","Jesus","I like the colors and textures.",32,15,"male"
"1746","John","Uninteresting and too much black",-30,15,"male"
"1747","Jonathan","Very cool, i want it in my living room",50,15,"male"
"1748","Jordan","This also has nice contrast",34,15,"male"
"1749","Jorge","interested in this transformation",20,15,"male"
"1750","Jose","black dots too ant-like",-25,15,"male"
"1751","Joseph","Bushes, good! Life, good!",12,15,"male"
"1752","Joshua","Like this for the colors and arrangement.",11,15,"male"
"1753","Juan","I don't even know what's going on here. Again, this is too abstract.",-21,15,"male"
"1754","Justin","Color scheme and design are rather boring.",-10,15,"male"
"1755","Kenneth","I can't really make out what this is supposed to be.",-8,15,"male"
"1756","Kevin","Weird fuzzball bush.",22,15,"male"
"1757","Kyle","I like it as the colors complement each other well",21,15,"male"
"1758","Logan","I couldn't tell you why but I'm really into this",39,15,"male"
"1759","Lucas","I can't see the meaning of the painting.",-30,15,"male"
"1760","Luis","Extreme darkness and sadness",-30,15,"male"
"1761","Luke","it looks like trees but they are up to interpretation",16,15,"male"
"1762","Malik","I like the dense patterns and the splashes  of blue",38,15,"male"
"1763","Marcus","Interesting, but don't really like it. Gloomy.",-10,15,"male"
"1764","Mark","Chameleons on reeds. Nice but doesn't really make me feel anything.",11,15,"male"
"1765","Mason","It's ok, it makes me think. That's something I guess.",8,15,"male"
"1766","Matthew","I think of birds, nature, levels of space.",18,15,"male"
"1767","Michael","Looks incomplete.",-19,15,"male"
"1768","Miguel","Simple but not good",-34,15,"male"
"1769","Mitchell","ants on the ground playing with bubble gum. They may be thinking of how they can use it to build something",-30,15,"male"
"1770","Nathan","This is pretty nice, reminds me of dark peacock feathers, or perhaps a bush with berries in it?",15,15,"male"
"1771","Nathaniel","This is passable, but personally it just has nothing I'd like to see.",-14,15,"male"
"1772","Nicholas","Not interesting enough. Boring",-37,15,"male"
"1773","Noah","i enjoy its apaprent simplicity (of colour and shape)",32,15,"male"
"1774","Patrick","I don't like the black dots",-19,15,"male"
"1775","Paul","I don't feel much of anything when looking at this, it's just a random pattern",1,15,"male"
"1776","Peter","It's just dots. Doesn't bring any positive or negative feelings",2,15,"male"
"1777","Richard","dark and provoking",-50,15,"male"
"1778","Robert","This piece is too dark",-42,15,"male"
"1779","Ryan","It triggers my tripophobia",-50,15,"male"
"1780","Samuel","Black reminds me of darkness",-18,15,"male"
"1781","Scott","I like the pattern of it",11,15,"male"
"1782","Sean","my response to the picture is that I dont know what I am looking at",-25,15,"male"
"1783","Seth","There should be more space between the black marks. The black comes off harsh and the blue between the trees can barely be seen.",-21,15,"male"
"1784","Shane","Too intense with the black dotting",-22,15,"male"
"1785","Shawn","Like the composition and lines",26,15,"male"
"1786","Spencer","Pretty, like in a field of poppies",19,15,"male"
"1787","Stephen","I like how the black and blue clash.",14,15,"male"
"1788","Steven","I'm just not into it",-5,15,"male"
"1789","Tanner","darkness, hatred, fear",-29,15,"male"
"1790","Taylor","Getting better.",10,15,"male"
"1791","Thomas","Interesting, and I don't dislike it.",9,15,"male"
"1792","Timothy","This painting gives a calm vibe but no stronger emotions than that",10,15,"male"
"1793","Travis","Hate it...black dots.",-47,15,"male"
"1794","Trevor","I really like the colors",14,15,"male"
"1795","Tristan","basic colors and pleasing shapes providing a calming effect",15,15,"male"
"1796","Tyler","I am starting to feel description fatigue. This would be pleasant enough in a doctor's office waiting room.",15,15,"male"
"1797","Victor","I like the random blue dabs to break up the black, but it looks unfinished.",4,15,"male"
"1798","Vincent","I like the colors and the different style This brings",7,15,"male"
"1799","William","makes me feel calm",40,15,"male"
"1800","Zachary","Reminds me of blue birds in a tree at night. I love nature.",40,15,"male"
"1801","Aaron","It's edgy but cool",10,16,"male"
"1802","Adam","Hard contrast, but no emotions towards any of the objects.",-6,16,"male"
"1803","Adrian","It's depressing. Probably achieved its goal. But I wouldn't want it hanging in my home.",-31,16,"male"
"1804","Alejandro","Garble and nonsense",-50,16,"male"
"1805","Alex","I'm a fan of collage and of reminiscing about childhood so this was nice",10,16,"male"
"1806","Alexander","Strange and bleak.",-20,16,"male"
"1807","Alexis","It looks very generic, like items were pasted onto the background",-38,16,"male"
"1808","Andrew","It just makes me feel uncomfortable",-25,16,"male"
"1809","Angel","I see something that is supposed to be comforting but it's been discarded and lost.",-20,16,"male"
"1810","Anthony","Very creepy, it makes me feel uneasy",-31,16,"male"
"1811","Antonio","Did not like at all. I think something sinister going on in the background and the bear a diversion",-50,16,"male"
"1812","Austin","Picture seems unique",12,16,"male"
"1813","Benjamin","Don't like the teddy bear. It takes away from the painting.",-39,16,"male"
"1814","Blake","cute and warm. i like the bear",15,16,"male"
"1815","Bradley","This feels like there's some kind of pedofile thing going on here.",-50,16,"male"
"1816","Brandon","Don't like this technique. Too serial killer.",-50,16,"male"
"1817","Brendan","cool teddy bear",50,16,"male"
"1818","Brett","Mixed feelings. Warm and comfy yet somewhat violent. A stark contrast",0,16,"male"
"1819","Brian","I love the teddy bear",50,16,"male"
"1820","Bryan","Something terrible happened. Either the figure on the right is the victim or another shredded toy.",-49,16,"male"
"1821","Bryce","The teddy bear is scary as hell.",-44,16,"male"
"1822","Caleb","A strange collage made by a child. Do not like the colored face of the bear.",-29,16,"male"
"1823","Cameron","Don't like teddy bears in art. I could draw that house.",-20,16,"male"
"1824","Carlos","Why is that bear there? It looks like it would be gross to touch. The texture bothers me.",-20,16,"male"
"1825","Charles","Weird and creepy",-30,16,"male"
"1826","Chase","Seems very twisted and dark.",-35,16,"male"
"1827","Christian","don't know how to feel, I mean I respect it but I honestly don't know about this",-12,16,"male"
"1828","Christopher","i don't like the collage aspect",-25,16,"male"
"1829","Cody","Kind of creepyyyyyy",-41,16,"male"
"1830","Cole","Weird mixed media piece",-50,16,"male"
"1831","Colton","the materials used are interesting",30,16,"male"
"1832","Connor","Not original. Bear is odd",-50,16,"male"
"1833","Corey","i like how it incorporates mixed visual art with the photo of the bear and the drawings",30,16,"male"
"1834","Dakota","depressing and confrontational",-9,16,"male"
"1835","Dalton","lol i dont know how i feel about this.",1,16,"male"
"1836","Daniel","Ugly, broken up and mismatched",-50,16,"male"
"1837","David","The colored teddy bear clashes with the color scheme.",-20,16,"male"
"1838","Derek","I can't figure out the meaning of this painting but it is pleasant to look at",40,16,"male"
"1839","Devin","That bear looks unfitting!",-8,16,"male"
"1840","Devon","The teddy bear looks really scared",-30,16,"male"
"1841","Dustin","Upsetting and disturbing. Random bear and indistinguishable objects. None of it goes together. Too chaotic and random",-50,16,"male"
"1842","Dylan","This is weird and creepy.",-40,16,"male"
"1843","Edward","It feels lazily done",-9,16,"male"
"1844","Elijah","The bear is terrifying",-50,16,"male"
"1845","Eric","This piece is unusual but unique.",5,16,"male"
"1846","Ethan","This is a neat piece. Sort of shocking. I think it's too monochromatic though.",19,16,"male"
"1847","Evan","I do not like this dark and twisted portrayal of childhood",-42,16,"male"
"1848","Gabriel","its disturbing! what the heck",-27,16,"male"
"1849","Garrett","I think this picture is weird and the colors are very boring.",-50,16,"male"
"1850","Grant","This is making me feel nervous in an enjoyable way.",20,16,"male"
"1851","Gregory","Weird and funny",40,16,"male"
"1852","Hunter","so close to feeling intentional",-4,16,"male"
"1853","Ian","This looks like it was made by an art student filled with angst",-30,16,"male"
"1854","Isaac","I wouldn't hang it up on my wall but I like the colors of the bear.",25,16,"male"
"1855","Isaiah","I feel irked, like somehow the items in this painting just happened to fall on the page together.",-44,16,"male"
"1856","Jack","very bizarre and confusing, but that feels purposeful, so i don't completely hate it.",-25,16,"male"
"1857","Jacob","Cool but the bear creeps me out?",8,16,"male"
"1858","Jake","This is creepy and puerile.",-45,16,"male"
"1859","James","It is interesting to say the least",0,16,"male"
"1860","Jared","it looks psychotic",-31,16,"male"
"1861","Jason","The bear is a weird choice",-22,16,"male"
"1862","Jeffrey","Teddy bear calls positive emotional response but then I get worried about what is about to happen",18,16,"male"
"1863","Jeremy","very disturbed seening a gun in the same picture as a teddy bear",-50,16,"male"
"1864","Jesse","I dont feel any real response",5,16,"male"
"1865","Jesus","I like the mixture of images",23,16,"male"
"1866","John","It creeps me out.",-50,16,"male"
"1867","Jonathan","It's a little anxiety inducing in a good way",16,16,"male"
"1868","Jordan","The bear makes me very uncomfortable",-50,16,"male"
"1869","Jorge","Dreamy and chaotic",-9,16,"male"
"1870","Jose","Super weird. Id like to know more about it",24,16,"male"
"1871","Joseph","Looks upsetting. Like it's actually graphic violence but you can't tell.",-24,16,"male"
"1872","Joshua","This is weird and a little creepy.",6,16,"male"
"1873","Juan","This is too bizarre.",-39,16,"male"
"1874","Justin","Kind of dull, colors and drawings are not really interesting.",0,16,"male"
"1875","Kenneth","Looks like someone got really high and did a bad photoshop job.",-27,16,"male"
"1876","Kevin","Hmm i don't know what going on here.",1,16,"male"
"1877","Kyle","I like it because it's quite different from the rest",23,16,"male"
"1878","Logan","what is this doing for anyone. If you connect with this you're literally lying to yourself. pretentious",-50,16,"male"
"1879","Lucas","It's frightening.",30,16,"male"
"1880","Luis","Kind of an edgy teenager vibe",32,16,"male"
"1881","Luke","while simple, it seems to have a deeper meaning on childhood",33,16,"male"
"1882","Malik","Very emotional",23,16,"male"
"1883","Marcus","Hate this, especially the jarring contrast of the super realistic teddybear face.",-50,16,"male"
"1884","Mark","I think it's about child abuse. The teddy bear represents innocence and the dark shape is approaching it.",40,16,"male"
"1885","Mason","Don't get it. Hate it. ugly.",-44,16,"male"
"1886","Matthew","A lot fo these could abstract or childrens work.",23,16,"male"
"1887","Michael","Looks like a kid did itt and ti looks disturbing.",-45,16,"male"
"1888","Miguel","Very cool abstraction.",19,16,"male"
"1889","Mitchell","A teddybear, gun, crying person does not give a happy reaction. Death, still, no life.",-50,16,"male"
"1890","Nathan","I enjoy how slightly strange this is, while seeming to still have some message",20,16,"male"
"1891","Nathaniel","Creeps me out. Like..really creeps me out.",-48,16,"male"
"1892","Nicholas","Creepy teddybear",-50,16,"male"
"1893","Noah","feel a little creeped out",-20,16,"male"
"1894","Patrick","This painting is too random",-30,16,"male"
"1895","Paul","Don't know if there's a meaning but I like how seemingly random objects were stuck together and called art",20,16,"male"
"1896","Peter","It's a little unsettling",2,16,"male"
"1897","Richard","nonsense art, not really art",-44,16,"male"
"1898","Robert","It looks violent.",-30,16,"male"
"1899","Ryan","Very modern, reminds me of bansky",43,16,"male"
"1900","Samuel","childhood horror",3,16,"male"
"1901","Scott","feels chaotic and morbid",-39,16,"male"
"1902","Sean","my reaction is that the picture is creepy",-19,16,"male"
"1903","Seth","This one isn't for me. It came off as strange but not in a good way.",-44,16,"male"
"1904","Shane","This looks chaotic",-25,16,"male"
"1905","Shawn","Fun but a little cheesy",15,16,"male"
"1906","Spencer","Know it is a piece relating to children and gun violence. Sad",-30,16,"male"
"1907","Stephen","Cute but there's a lot going on.",7,16,"male"
"1908","Steven","Not interested at all",-15,16,"male"
"1909","Tanner","sad. desth of childhood",-5,16,"male"
"1910","Taylor","It is sick to put a teddy bear and a gun on the same piece of canvas.",-40,16,"male"
"1911","Thomas","Makes me want to know more",5,16,"male"
"1912","Timothy","This feels like images of a painful childhood",-50,16,"male"
"1913","Travis","I like the teddy bear,but a neutral feeling",5,16,"male"
"1914","Trevor","very creepy with a bear and a gun",-50,16,"male"
"1915","Tristan","visceral and a little disturbing.",10,16,"male"
"1916","Tyler","Pop art, Tate Modern horse dung.",-50,16,"male"
"1917","Victor","I don't know why, I just don't like it",-28,16,"male"
"1918","Vincent","Toys toys toys. Happy playful free spirit",30,16,"male"
"1919","William","liked the bear, nothing else made sense",10,16,"male"
"1920","Zachary","Not pleasing to the eyes. I do like that the gun is broken though.",-28,16,"male"
"1921","Aaron","it brings a clear picture to my minds eye:",45,17,"male"
"1922","Adam","Very washed out.",-10,17,"male"
"1923","Adrian","Pretty composition and I like the colors.",20,17,"male"
"1924","Alejandro","Embodies beauty and complexity and in simplicity as well",50,17,"male"
"1925","Alex","I can tell there are tress and maybe some doors but I'm not a fan of the style",-2,17,"male"
"1926","Alexander","Tree of knowledge in a quiet school.",17,17,"male"
"1927","Alexis","This makes me feel inspired and happy. I love everything about this portrait",45,17,"male"
"1928","Andrew","A very inspiring piece",41,17,"male"
"1929","Angel","Reminds me of the modern art museum in Rome. I didn't ""get"" many pieces, but had a positive cultural experience overall.",20,17,"male"
"1930","Anthony","Very elegant, this design reminds me of trees",31,17,"male"
"1931","Antonio","Beautiful colors. Made me feel soft and feminine",50,17,"male"
"1932","Austin","Has a unique vibe to it",50,17,"male"
"1933","Benjamin","Don't really like pastels.",-10,17,"male"
"1934","Blake","soft and warm light colors are relaxing",12,17,"male"
"1935","Bradley","It kind of pulls you in to float away with it.",9,17,"male"
"1936","Brandon","Love the color and nature motif",36,17,"male"
"1937","Brendan","colorful tree really cool",27,17,"male"
"1938","Brett","Looks like an explosion of pretty artwork",45,17,"male"
"1939","Brian","I'm not into paintings of trees",-18,17,"male"
"1940","Bryan","Reminds me of winters in Minnesota.",48,17,"male"
"1941","Bryce","Doesnt really do anythingb for me.",4,17,"male"
"1942","Caleb","Not even abstract to me, very clear meaning.",44,17,"male"
"1943","Cameron","doorways and trees are pleasant",30,17,"male"
"1944","Carlos","It feels like nature overtaking civilization.",21,17,"male"
"1945","Charles","I like the trees, but the doors less so",19,17,"male"
"1946","Chase","It's okay, I just don't see much too it.",7,17,"male"
"1947","Christian","tree sprouting out of a box (house) the invasion of nature?",39,17,"male"
"1948","Christopher","i like the delicate wispy part, but overall i don't love it",10,17,"male"
"1949","Cody","Love the colors and the movement",46,17,"male"
"1950","Cole","It looks unfinished",-7,17,"male"
"1951","Colton","its whimsical and light",50,17,"male"
"1952","Connor","Windows indoor tree, weird palette",-11,17,"male"
"1953","Corey","gentle watercolor vibes",12,17,"male"
"1954","Dakota","home - reminds me of fond memories of the Barnes Museum courtyard (looks just like it)",30,17,"male"
"1955","Dalton","Beautiful simply beautiful. i would love this,",50,17,"male"
"1956","Daniel","2 paintings in 1 with shared colors",5,17,"male"
"1957","David","I like how the image gives an impression of gaseous tree.",15,17,"male"
"1958","Derek","The colors are beautiful and the painting itself is magnificent",50,17,"male"
"1959","Devin","So expressive and wonderful wow!",17,17,"male"
"1960","Devon","i feel some sadness in this picture",25,17,"male"
"1961","Dustin","Is it a tree/plant of some sort?  Or, I see hair?  I don't get it. But, the colors are pleasing to me.",1,17,"male"
"1962","Dylan","This is very beautiful and elegant.",42,17,"male"
"1963","Edward","I love how soft it is",35,17,"male"
"1964","Elijah","Very cool, makes me feel calm",43,17,"male"
"1965","Eric","This picture is calming to me, and I love the colors.",45,17,"male"
"1966","Ethan","The colors are nice and soft but not very complimentary.",7,17,"male"
"1967","Evan","This reminds me of spring",24,17,"male"
"1968","Gabriel","this ones alright",10,17,"male"
"1969","Garrett","I like the way the colors were used behind the tree. Makes the image colorful and interesting.",30,17,"male"
"1970","Grant","This makes me feel trapped.",5,17,"male"
"1971","Gregory","Looks like some fantasy tree. Nice",30,17,"male"
"1972","Hunter","impressive attention to subtleties",15,17,"male"
"1973","Ian","It seems a little dark but it is very beautiful",28,17,"male"
"1974","Isaac","The colors are soft.",32,17,"male"
"1975","Isaiah","The painting makes me feel relaxed, and a bit lonely, like I'm sitting at a park waiting for someone.",30,17,"male"
"1976","Jack","stunning. makes me feel happy, hopeful, serene, and a little wistful.",50,17,"male"
"1977","Jacob","The way they painted the trees is so cool.",27,17,"male"
"1978","Jake","This could have been good but was poorly done.",-5,17,"male"
"1979","James","It's nice and realistic looking.",12,17,"male"
"1980","Jared","the colors, the arch and the wall",15,17,"male"
"1981","Jason","Very beautiful",19,17,"male"
"1982","Jeffrey","Makes me warm and cozy just by looking at it",29,17,"male"
"1983","Jeremy","very pretty. Makes me happy",45,17,"male"
"1984","Jesse","Doesnt completely turn me off but wouldnt look twice",-3,17,"male"
"1985","Jesus","Very fun textures",32,17,"male"
"1986","John","It gorgeous and i love how the tree is almost 3 dimensional.So many elements to it.",50,17,"male"
"1987","Jonathan","Feels nostalgic somehow",31,17,"male"
"1988","Jordan","Really love the branches. The bottom made it not perfect",42,17,"male"
"1989","Jorge","battle between nature and man",31,17,"male"
"1990","Jose","Looks like a weird blurry heaven again! I dig",32,17,"male"
"1991","Joseph","I like the way the forest is taking over the buildings.",21,17,"male"
"1992","Joshua","Looks like an abandoned building that is being overtaken by nature.",-10,17,"male"
"1993","Juan","I want to know more about this picture and where it leads if you could get inside it.",27,17,"male"
"1994","Justin","I like the colors and the design.",20,17,"male"
"1995","Kenneth","I really like this, especially the tree.",23,17,"male"
"1996","Kevin","Some new perm we got there.",12,17,"male"
"1997","Kyle","I like the use of color in this and how you can actually see shapes form. Seems thoughtful",22,17,"male"
"1998","Logan","similar to last one, still pretty cool but I liked arrangement of last one better",13,17,"male"
"1999","Lucas","Wow, I haven't seen anything better than this.",40,17,"male"
"2000","Luis","Messy shadow of loss and love",50,17,"male"
"2001","Luke","it looks very intricate and colorful",50,17,"male"
"2002","Malik","I love vague, dreamlike styles",50,17,"male"
"2003","Marcus","I like this, but it's a bit bland.",10,17,"male"
"2004","Mark","A coming storm but I think I would appreciate it more with more contrast.",-12,17,"male"
"2005","Mason","Like this one, super creative, calming.",43,17,"male"
"2006","Matthew","taste the rainbow, feel the flavor.",23,17,"male"
"2007","Michael","There is better structure and direction in this one.",19,17,"male"
"2008","Miguel","Looks awesome .",33,17,"male"
"2009","Mitchell","Nature coming to the inside of your space that you are locked into.",50,17,"male"
"2010","Nathan","It's alright, nothing I particularly like but it's just fine",-10,17,"male"
"2011","Nathaniel","I like the artistic sketching pattern.",24,17,"male"
"2012","Nicholas","Nice colors, shapes, flow",31,17,"male"
"2013","Noah","feel close to nature",30,17,"male"
"2014","Patrick","Beautiful patterns but evokes sad emotions in me due to the color shades",31,17,"male"
"2015","Paul","The colors remind me of a sunset and give a bittersweet feeling. It looks unfinished but not terrible.",6,17,"male"
"2016","Peter","I feel okay , it's like a tree",28,17,"male"
"2017","Richard","nice composition and colors, fairy land",28,17,"male"
"2018","Robert","The wispy trees caught my eye.",42,17,"male"
"2019","Ryan","Feels supernatural and scary",-16,17,"male"
"2020","Samuel","muted tones brings me down",-13,17,"male"
"2021","Scott","pretty bland in coloring",1,17,"male"
"2022","Sean","my response to the picture is that it looks beautiful",27,17,"male"
"2023","Seth","I really enjoyed this piece, it's a play on bringing the outside indoors.",32,17,"male"
"2024","Shane","Pleasant fall to winter day",22,17,"male"
"2025","Shawn","Pretty but a little cheesy",-10,17,"male"
"2026","Spencer","Love the colors, the flow, like a strange storm or tree off the balcony",50,17,"male"
"2027","Stephen","I like the colorfulness.",17,17,"male"
"2028","Steven","absolutely gorgeous, I feel solitude again, but the beauty is there also",50,17,"male"
"2029","Tanner","calm, tranquil, happy",50,17,"male"
"2030","Taylor","Somewhat should trim the tree branches at the shopping mall.",10,17,"male"
"2031","Thomas","Colors and composition are beautiful. I would hang this in my home.",50,17,"male"
"2032","Timothy","This feels like creativity and limitlessness",30,17,"male"
"2033","Travis","Very pretty...the colors and good and flow well.",33,17,"male"
"2034","Trevor","I like how it looks like a tree. The colors are too muted though",12,17,"male"
"2035","Tristan","peaceful. contemplative. balanced. old",10,17,"male"
"2036","Tyler","No strong reaction. Beautiful design, but hue appears taciturn. Bad photograph?",1,17,"male"
"2037","Victor","cool. Sharp and blocky below, light and flowing on top. Overall pleasing to look at",32,17,"male"
"2038","Vincent","Another favorite a relaxing day with nature a day to take it all In",34,17,"male"
"2039","William","love the wispyness of it",34,17,"male"
"2040","Zachary","Reminds me of a beautiful tree growing in a courtyard. I like the light and airy technique used.",34,17,"male"
"2041","Aaron","I could spend a long time looking at it and see different things in the shapes.",21,18,"male"
"2042","Adam","Colors are okay. Reminds me of cavalry.",10,18,"male"
"2043","Adrian","Interesting piece - gives you more the more you look at it. I like it but wouldn't buy it.",11,18,"male"
"2044","Alejandro","I love this because abstractly depicts the apocalypse. The white horse and its rider as Death, described in religious texts and pop culture. ""He rode a pale horse and his name was death.""",50,18,"male"
"2045","Alex","The small lines elicit a very nauseating response for some reason, too Dali like for me",-19,18,"male"
"2046","Alexander","Ghostly sea adventure.",20,18,"male"
"2047","Alexis","It's possibly of a mermaid luring in a ship",15,18,"male"
"2048","Andrew","Another ominous painting",-10,18,"male"
"2049","Angel","Like riding into battle. A sense of confidence, but also trepidation for what's coming. Could be a personification of death.",-10,18,"male"
"2050","Anthony","I have no strong feelings about this image",1,18,"male"
"2051","Antonio","I think of the ocean and a boat tossed about on the waves. In the upper left is a figure. It is pleasant",30,18,"male"
"2052","Austin","Nice abstract art",50,18,"male"
"2053","Benjamin","ugly and lots of movement",-6,18,"male"
"2054","Blake","i like the colors. outerspace",21,18,"male"
"2055","Bradley","This one is very dark and apocalyptic indeed!",-30,18,"male"
